0,0.011,0.1048,0.6361,0.0484,0.0043,0.236,0.0001,0.0587,0.1141,0.0002,0.1919,0.6742,0.12,1.5601,5.4586,0.9117,8.0248,
1,0.0104,0.2359,0.7424,0.0544,0.002,0.2372,0.0001,0.105,0.1265,0.0003,0.2019,0.7482,0.1301,1.8794,5.8356,0.8967,8.7316,
2,0.0106,0.1034,0.6662,0.0564,0.004,0.2266,0.0001,0.0612,0.13,0.0003,0.1977,0.6943,0.1327,1.6163,5.6765,0.9047,8.3182,
3,0.0105,0.2286,0.6004,0.0576,0.0043,0.2673,0.0001,0.0687,0.1242,0.0003,0.208,0.7481,0.1325,1.729,5.304,0.9046,8.0516,
4,0.01,0.221,0.6225,0.0515,0.0022,0.2523,0.0001,0.0757,0.128,0.0003,0.2087,0.7357,0.1208,1.7219,5.817,0.8916,8.544,
5,0.0103,0.2106,0.6062,0.046,0.0022,0.2386,0.0001,0.0689,0.1264,0.0002,0.1896,0.6878,0.1166,1.6421,5.7355,0.7723,8.2657,
6,0.0111,0.2054,0.7521,0.0508,0.0034,0.2157,0.0001,0.0566,0.1279,0.0003,0.2093,0.6777,0.1074,1.7679,5.8075,0.9531,8.6463,
7,0.0106,0.2202,0.5836,0.0504,0.0016,0.2426,0.0001,0.0538,0.1182,0.0002,0.194,0.6703,0.1043,1.5981,5.7735,0.5902,8.0916,
8,0.011,0.107,0.6396,0.0578,0.0018,0.2827,0.0001,0.063,0.1147,0.0006,0.1867,0.7258,0.118,1.6178,5.9582,1.0084,8.7181,
9,0.011,0.2205,0.6583,0.0584,0.0021,0.2322,0.0001,0.0684,0.1236,0.0004,0.1992,0.7009,0.1111,1.7115,5.4526,1.0196,8.3159,
10,0.0109,0.2233,0.6585,0.0535,0.0023,0.2884,0.0001,0.0568,0.1246,0.0002,0.2023,0.7434,0.1194,1.7667,5.9752,0.8238,8.6927,
11,0.0102,0.2131,0.6542,0.0585,0.0037,0.2731,0,0.0638,0.1285,0.0002,0.2054,0.748,0.1281,1.7682,5.9499,0.9338,8.7788,
12,0.0096,0.1817,0.6162,0.0526,0.0043,0.2313,0.0001,0.0577,0.1268,0.0003,0.2053,0.6952,0.1172,1.6321,5.5536,1.0229,8.34,
13,0.0107,0.2055,0.6215,0.0587,0.0019,0.2668,0.0001,0.0689,0.1322,0.0002,0.1877,0.7331,0.1159,1.6969,6.0647,1.0384,8.9267,
14,0.0106,0.2228,0.6283,0.0569,0.0017,0.2733,0,0.0611,0.1365,0.0002,0.2047,0.7484,0.1283,1.7519,5.9893,0.9059,8.7753,
15,0.0104,0.2191,0.637,0.0496,0.0016,0.273,0.0001,0.0708,0.1417,0.0002,0.1997,0.7507,0.1193,1.744,6.117,1.1245,9.108,
16,0.0118,0.1001,0.617,0.0554,0.002,0.2784,0.0001,0.0683,0.1278,0.0002,0.1973,0.7433,0.1109,1.5977,6.1827,1.0507,8.9648,
17,0.0106,0.2204,0.635,0.0601,0.0024,0.2474,0.0001,0.0579,0.1377,0.0003,0.1894,0.716,0.1203,1.7154,6.2397,0.6005,8.6838,
18,0.0103,0.2141,0.6288,0.0573,0.0045,0.2789,0.0001,0.069,0.1377,0.0002,0.1992,0.7646,0.1305,1.7621,5.9647,1.0516,8.9049,
19,0.0105,0.2254,0.6285,0.0633,0.0042,0.2721,0.0001,0.0662,0.134,0.0002,0.1984,0.7528,0.1268,1.7557,5.8898,1.0139,8.7877,
20,0.0104,0.2139,0.6521,0.0529,0.0045,0.3014,0.0001,0.0675,0.1436,0.0002,0.1989,0.7825,0.1283,1.8017,6.5234,0.9052,9.3543,
21,0.0106,0.2044,0.6132,0.0591,0.0018,0.2969,0.0001,0.068,0.1407,0.0003,0.1988,0.7823,0.1263,1.7467,6.414,0.6669,8.9516,
22,0.0096,0.2254,0.6255,0.0548,0.0039,0.306,0.0001,0.0617,0.1406,0.0002,0.2023,0.7829,0.1194,1.7755,6.1447,1.0693,9.1091,
23,0.0106,0.2141,0.6589,0.0572,0.0022,0.2385,0.0001,0.0658,0.1481,0.0001,0.1991,0.7268,0.1152,1.7366,5.4057,1.1056,8.3759,
24,0.0112,0.0972,0.621,0.0564,0.0043,0.2919,0.0001,0.0682,0.1329,0.0003,0.1919,0.7633,0.1213,1.6291,6.4548,1.0789,9.2911,
25,0.0104,0.2184,0.6238,0.0669,0.0022,0.2964,0.0001,0.0769,0.1507,0.0002,0.256,0.866,0.1236,1.8556,6.7361,0.9111,9.6372,
